Value,Description,DTLS-OK,Recommended,Reference,Hex Vals
"0x00,0x00",TLS_NULL_WITH_NULL_NULL,Y,N,[RFC5246],0x0000
"0x00,0x01",TLS_RSA_WITH_NULL_MD5,Y,N,[RFC5246],0x0001
"0x00,0x02",TLS_RSA_WITH_NULL_SHA,Y,N,[RFC5246],0x0002
"0x00,0x03",TLS_RSA_EXPORT_WITH_RC4_40_MD5,N,N,[RFC4346][RFC6347],0x0003
"0x00,0x04",TLS_RSA_WITH_RC4_128_MD5,N,N,[RFC5246][RFC6347],0x0004
"0x00,0x05",TLS_RSA_WITH_RC4_128_SHA,N,N,[RFC5246][RFC6347],0x0005
"0x00,0x06",TLS_RSA_EXPORT_WITH_RC2_CBC_40_MD5,Y,N,[RFC4346],0x0006
"0x00,0x07",TLS_RSA_WITH_IDEA_CBC_SHA,Y,N,[RFC8996],0x0007
"0x00,0x08",TLS_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],0x0008
"0x00,0x09",TLS_RSA_WITH_DES_CBC_SHA,Y,N,[RFC8996],0x0009
"0x00,0x0A",TLS_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],0x000A
"0x00,0x0B",TLS_DH_DSS_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],0x000B
"0x00,0x0C",TLS_DH_DSS_WITH_DES_CBC_SHA,Y,N,[RFC8996],0x000C
"0x00,0x0D",TLS_DH_DSS_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],0x000D
"0x00,0x0E",TLS_DH_RSA_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],0x000E
"0x00,0x0F",TLS_DH_RSA_WITH_DES_CBC_SHA,Y,N,[RFC8996],0x000F
"0x00,0x10",TLS_DH_RSA_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],0x0010
"0x00,0x11",TLS_DHE_DSS_EXPORT_WITH_DES40_CBC_SHA,Y,N,[RFC4346],0x0011
"0x00,0x12",TLS_DHE_DSS_WITH_DES_CBC_SHA,Y,N,[RFC8996],0x0012
"0x00,0x13",TLS_DHE_DSS_WITH_3DES_EDE_CBC_SHA,Y,N,[RFC5246],0x0013
