ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,tls.handshake.type,tls.record.version,tls.handshake.version,tls.handshake.ciphersuite,frame.protocols
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2600:1901:1:365::",,,"1",,"0x0303","0x1301,0x1302,0x1303","eth:ethertype:ipv6:udp:quic:tls"
,,"2600:1901:1:365::","2600:1702:50b1:8e00:cdb6:1041:ff5:be66",,,"2",,"0x0303","0x1301","eth:ethertype:ipv6:udp:quic:tls"
"192.168.1.76","34.117.201.170",,,,,"1",,"0x0303","0x1301,0x1302,0x1303","eth:ethertype:ip:udp:quic:tls:tls:tls:tls:tls"
"34.117.201.170","192.168.1.76",,,,,"2",,"0x0303","0x1301","eth:ethertype:ip:udp:quic:tls"
"192.168.1.76","34.117.201.170",,,"12546","443","1","0x0301","0x0303","0x9a9a,0x1301,0x1302,0x1303,0xc02b,0xc02f,0xc02c,0xc030,0xcca9,0xcca8,0xc013,0xc014,0x009c,0x009d,0x002f,0x0035","eth:ethertype:ip:tcp:tls"
"34.117.201.170","192.168.1.76",,,"443","12546","2","0x0303,0x0303,0x0303","0x0303","0x1301","eth:ethertype:ip:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:90:face:b00c:0:8e","12550","443","1","0x0301","0x0303","0xc02c,0xc030,0x009f,0xcca9,0xcca8,0xccaa,0xc02b,0xc02f,0x009e,0xc024,0xc028,0x006b,0xc023,0xc027,0x0067,0xc00a,0xc014,0x0039,0xc009,0xc013,0x0033,0x009d,0x009c,0x003d,0x003c,0x0035,0x002f,0x00ff","eth:ethertype:ipv6:tcp:tls"
,,"2a03:2880:f351:90:face:b00c:0:8e","2600:1702:50b1:8e00:cdb6:1041:ff5:be66","443","12550","2","0x0303","0x0303","0xc02b","eth:ethertype:ipv6:tcp:tls"
"192.168.1.76","162.159.135.232",,,,,"1",,"0x0303","0x1301,0x1302,0x1303","eth:ethertype:ip:udp:quic:tls"
"162.159.135.232","192.168.1.76",,,,,"2",,"0x0303","0x1301","eth:ethertype:ip:udp:quic:tls"
"192.168.1.76","34.233.201.3",,,"12561","443","1","0x0301","0x0303","0x1302,0x1303,0x1301,0xc02c,0xc030,0x00a3,0x009f,0xcca9,0xcca8,0xccaa,0xc0af,0xc0ad,0xc0a3,0xc09f,0xc05d,0xc061,0xc057,0xc053,0xc024,0xc028,0x006b,0x006a,0xc073,0xc077,0x00c4,0x00c3,0xc00a,0xc014,0x0039,0x0038,0x0088,0x0087,0x009d,0xc0a1,0xc09d,0xc051,0x003d,0x00c0,0x0035,0x0084,0xc02b,0xc02f,0x00a2,0x009e,0xc0ae,0xc0ac,0xc0a2,0xc09e,0xc05c,0xc060,0xc056,0xc052,0xc023,0xc027,0x0067,0x0040,0xc072,0xc076,0x00be,0x00bd,0xc009,0xc013,0x0033,0x0032,0x009a,0x0099,0x0045,0x0044,0x009c,0xc0a0,0xc09c,0xc050,0x003c,0x00ba,0x002f,0x0096,0x0041,0x0007,0x00ff","eth:ethertype:ip:tcp:tls"
"34.233.201.3","192.168.1.76",,,"443","12561","2","0x0303,0x0303,0x0303","0x0303","0x1301","eth:ethertype:ip:tcp:tls"
,,"2600:1702:50b1:8e00:cdb6:1041:ff5:be66","2a03:2880:f351:90:face:b00c:0:8e","12567","443","1","0x0301","0x0303","0xc02c,0xc030,0x009f,0xcca9,0xcca8,0xccaa,0xc02b,0xc02f,0x009e,0xc024,0xc028,0x006b,0xc023,0xc027,0x0067,0xc00a,0xc014,0x0039,0xc009,0xc013,0x0033,0x009d,0x009c,0x003d,0x003c,0x0035,0x002f,0x00ff","eth:ethertype:ipv6:tcp:tls"
